,precision,recall,f1-score,support
0,0.9463910867108025,0.6568418693264597,0.775469700979095,17846.0
1,0.31567772935523525,0.8096875895672112,0.4542530953529506,3489.0
accuracy,0.6818373564565269,0.6818373564565269,0.6818373564565269,0.6818373564565269
macro avg,0.6310344080330189,0.7332647294468355,0.6148613981660228,21335.0
weighted avg,0.8432479461523975,0.6818373564565269,0.722939832826781,21335.0
