,precision,recall,f1-score,support
0,0.9187885086482073,0.6935447719376892,0.7904333109812561,17846.0
1,0.30455239064089523,0.6864431069074234,0.4219149123579671,3489.0
accuracy,0.6923834075462855,0.6923834075462855,0.6923834075462855,0.6923834075462855
macro avg,0.6116704496445513,0.6899939394225563,0.6061741116696115,21335.0
weighted avg,0.8183399585789544,0.6923834075462855,0.7301679867348697,21335.0
