Feature,Importance
la,0.3018716121286238
ent,0.15905939979030276
nf,0.11993524686449368
age,0.10442010306894836
ld,0.08269838729157483
nuc,0.04871906190474271
ndev,0.047677897495216975
asexp,0.035151739786467025
aexp,0.029408845435505725
nd,0.028277782978579243
arexp,0.027042451810665277
ns,0.015737471444879615
